Symbol,LTP,%Change,Open,High,Low,Qty,PClose,Diff
ACLBSL,990,0,990,990,981,"1,482",990,0
ADBL,296.6,-0.77,302,302,295,"24,934",298.9,-2.3
AHL,633.1,2.78,628.3,652,612.09,"27,721",616,17.1
AHPC,279.6,-0.5,280.3,282.5,279.6,"63,987",281,-1.4
AKJCL,186,-0.48,186,187.8,184.1,"46,839",186.9,-0.9
AKPL,242,-0.41,243,244,240.1,"65,655",243,-1
ALBSL,"1,055.00",-3.25,"1,090.00","1,100.00","1,021.70","32,235","1,090.41",-35.41
ALICL,460,0,451,469,451,"55,454",460,0
ANLB,"6,187.90",-0.03,"6,100.00","6,187.90","6,100.00",49,"6,189.90",-2
API,284,-0.39,285.3,288.7,282.5,"79,735",285.1,-1.1
AVYAN,964,-1.03,955.1,975,955.1,660,974,-10
BANDIPUR,782.5,-0.57,787,794.5,778.6,"99,982",787,-4.5
BARUN,329.9,0.89,329,340,323.5,"187,032",327,2.9
BBC,"4,879.90",0.41,"4,840.00","4,903.50","4,840.00",160,"4,860.00",19.9
BEDC,550,-0.22,546,557,540.2,"13,124",551.2,-1.2
BFC,483.9,-0.23,490,490,480.1,"26,559",485,-1.1
BGWT,778,1.7,765,780,765,"3,448",765,13
BHCL,528,4.16,506,535,501.5,"122,440",506.9,21.1
BHDC,484,-0.19,482,489.8,481,"24,074",484.9,-0.9
BHL,178,-0.5,177.3,180,176.4,"87,285",178.9,-0.9
BHPL,628,-1.41,626.3,644,626.3,"1,928",637,-9
BNHC,438.7,-0.07,430.4,439.5,430.4,"2,997",439,-0.3
BNL,"15,533.10",-2,"15,850.00","15,850.00","15,533.10",30,"15,850.00",-316.9
BNT,"11,946.20",-0.04,"12,190.00","12,190.00","11,946.20",185,"11,951.00",-4.8
BOKD86,"1,100.10",-1.34,"1,100.10","1,100.10","1,100.10",25,"1,115.00",-14.9
BPCL,704,-0.35,693,716,693,"60,693",706.5,-2.5
BUNGAL,600,-0.33,590,605.1,582,"52,224",602,-2
C30MF,9.15,0.44,9.15,9.15,9.15,400,9.11,0.04
CBBL,"1,001.00",0,"1,000.50","1,012.00",994.1,"30,309","1,001.00",0
CCBD88,"1,250.00",0,"1,250.00","1,250.00","1,250.00",25,"1,250.00",0
CFCL,482.2,-2.78,492,492.1,482,"15,684",496,-13.8
CGH,870,-1.27,871,880,870,"12,519",881.2,-11.2
CHCL,491,0.2,499.8,499.8,488,"29,097",490,1
CHDC,"2,280.00",-0.83,"2,298.00","2,300.00","2,271.00","15,949","2,299.00",-19
CHL,261.8,-0.61,268.6,268.6,261.1,"24,412",263.4,-1.6
CIT,"1,860.00",-0.01,"1,866.00","1,875.00","1,858.00","4,047","1,860.10",-0.1
CITY,529.1,0.78,521,533,521,"5,379",525,4.1
CIZBD90,"1,238.00",-1.82,"1,238.00","1,238.00","1,238.00",25,"1,261.00",-23
CKHL,661,3.75,626,665,626,"15,467",637.1,23.9
CLI,485,0.41,475,487,475,"17,930",483,2
CMF2,9.05,-0.98,9.05,9.05,9.05,200,9.14,-0.09
CORBL,"1,655.00",-1.19,"1,650.00","1,683.00","1,620.00","4,229","1,675.00",-20
CREST,"1,275.00",-0.39,"1,255.40","1,297.00","1,255.40","24,023","1,280.00",-5
CYCL,"1,517.10",-1.48,"1,509.20","1,562.00","1,501.10","1,376","1,539.90",-22.8
CZBIL,192.9,-1.03,192,193.9,192,"44,029",194.9,-2
DDBL,865,-0.23,867,873,865,"13,225",867,-2
DHEL,588,-0.34,586,600,580.2,"53,314",590,-2
DHPL,297,0,294,300,294,"6,237",297,0
DLBS,"1,325.00",-0.82,"1,320.10","1,340.00","1,320.10",444,"1,336.00",-11
DOLTI,530.3,1.98,515,540.6,514,"7,723",520,10.3
DORDI,262,0.77,258.3,272.5,254.8,"98,596",260,2
EBL,638,-0.47,641,648,637.9,"21,169",641,-3
EBLD85,"1,209.50",0.71,"1,178.00","1,209.50","1,178.00",375,"1,201.00",8.5
EBLD91,"1,101.00",0,"1,101.00","1,101.00","1,101.00",43,"1,101.00",0
EDBL,582.1,0.8,588.9,597.9,582.1,"4,008",577.5,4.6
EHPL,435.2,1.45,437.5,446,421.6,"102,558",429,6.2
ENL,910.1,-1.29,906,929.8,900,"1,131",922,-11.9
FMDBL,800,-1.84,815,819.9,799.2,"34,537",815,-15
FOWAD,"1,108.80",-0.38,"1,113.00","1,113.00","1,096.00","1,434","1,113.00",-4.2
GBBD85,"1,095.00",0.36,"1,099.90","1,100.00","1,095.00",65,"1,091.10",3.9
GBBL,377,-0.26,375.3,380,375.2,"8,266",378,-1
GBILD84/85,"1,188.30",2,"1,188.30","1,188.30","1,188.30",100,"1,165.00",23.3
GBIME,224.5,-0.66,229.8,229.8,223.1,"49,425",226,-1.5
GBIMESY2,8.72,0.23,8.54,8.72,8.5,"12,550",8.7,0.02
GCIL,458,1.39,452.1,461,452,"25,058",451.7,6.3
GFCL,594.9,0.15,585.2,600,583.1,"3,266",594,0.9
GHL,211.9,0,210,214,210,"17,297",211.9,0
GIBF1,10.27,0.59,10.07,10.27,10.07,"12,810",10.21,0.06
GILB,"1,260.00",-1.56,"1,304.00","1,304.00","1,255.00","4,035","1,280.00",-20
GLBSL,"1,950.00",-1.02,"1,970.00","2,000.00","1,922.10",918,"1,970.00",-20
GLH,255,0.08,249.8,256,249.8,"22,009",254.8,0.2
GMFBS,"1,558.00",0.52,"1,520.00","1,558.00","1,520.00",309,"1,550.00",8
GMFIL,473.9,-3.68,483,492,467.1,"54,915",492,-18.1
GMLI,"1,794.20",-0.27,"1,820.00","1,856.40","1,790.00","2,368","1,799.00",-4.8
GRDBL,"1,150.00",1.23,"1,130.00","1,162.60","1,115.00","12,575","1,136.00",14
GSY,9.06,0.67,8.85,9.07,8.74,"44,450",9,0.06
GUFL,501,-1.01,501.1,510,501,"3,356",506.1,-5.1
GVL,524,0.67,520,534.2,520,"39,945",520.5,3.5
H8020,10.65,-0.75,10.65,10.65,10.6,"2,945",10.73,-0.08
HATHY,910,-0.55,915,919,910,"5,012",915,-5
HBL,186.8,-0.48,186.3,188,186,"49,847",187.7,-0.9
HBLD86,"1,177.00",0,"1,177.00","1,177.00","1,177.00",15,"1,177.00",0
HDHPC,178.5,-0.56,178.6,186,177.5,"73,345",179.5,-1
HDL,"1,150.00",-0.17,"1,175.00","1,175.00","1,150.00","37,576","1,152.00",-2
